overall_rank,country_name,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,unemployment_rate
63,Estonia,5.739,1.2,1.532,0.737,0.553,0.086,0.174,5.37
64,Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074,6.22
65,Peru,5.663,0.934,1.249,0.674,0.53,0.092,0.034,3.49
67,Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0.0,4.11
68,Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037,4.23
69,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022,3.71
70,Libya,5.566,0.985,1.35,0.553,0.496,0.116,0.148,19.45
71,Philippines,5.524,0.775,1.312,0.513,0.643,0.12,0.105,2.34
72,Honduras,5.504,0.62,1.205,0.622,0.459,0.197,0.074,5.65
73,Belarus,5.483,1.039,1.498,0.7,0.307,0.101,0.154,4.76
75,Pakistan,5.472,0.652,0.81,0.424,0.334,0.216,0.113,4.08
77,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017,6.99
78,Serbia,5.398,0.975,1.369,0.685,0.288,0.134,0.043,12.73
79,Greece,5.358,1.154,1.202,0.879,0.131,0.0,0.044,19.29
80,Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,0.136,10.8
81,Montenegro,5.347,1.017,1.279,0.729,0.259,0.111,0.081,15.17
82,Croatia,5.321,1.115,1.161,0.737,0.38,0.12,0.039,8.43
83,Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.12,0.106,5.86
84,Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135,10.42
85,Morocco,5.254,0.779,0.797,0.669,0.46,0.026,0.074,9.27
86,China,5.246,0.989,1.142,0.799,0.597,0.029,0.103,4.28
87,Azerbaijan,5.201,1.024,1.161,0.603,0.43,0.031,0.176,4.9
88,Tajikistan,5.199,0.474,1.166,0.598,0.292,0.187,0.034,7.01
90,Jordan,5.161,0.822,1.265,0.645,0.468,0.13,0.134,18.27
91,Nigeria,5.155,0.689,1.172,0.048,0.462,0.201,0.032,8.46
93,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28,0.216,0.0,18.4
94,Mongolia,5.125,0.914,1.517,0.575,0.395,0.253,0.032,5.38
95,Vietnam,5.103,0.715,1.365,0.702,0.618,0.177,0.079,1.16
96,Indonesia,5.093,0.899,1.215,0.522,0.538,0.484,0.018,4.4
97,Bhutan,5.082,0.796,1.335,0.527,0.541,0.364,0.171,2.44
98,Somalia,4.982,0.0,0.712,0.115,0.674,0.238,0.282,18.85
99,Cameroon,4.975,0.535,0.891,0.182,0.454,0.183,0.043,3.62
100,Bulgaria,4.933,1.054,1.515,0.712,0.359,0.064,0.009,5.21
101,Nepal,4.88,0.425,1.228,0.539,0.526,0.302,0.078,3.19
103,Gabon,4.758,1.036,1.164,0.404,0.356,0.032,0.052,20.75
105,South Africa,4.724,0.94,1.41,0.33,0.516,0.103,0.056,26.91
108,Ghana,4.657,0.592,0.896,0.337,0.499,0.212,0.029,4.28
109,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.082,3.28
111,Tunisia,4.592,0.9,0.906,0.69,0.271,0.04,0.063,15.46
112,Albania,4.586,0.916,0.817,0.79,0.419,0.149,0.032,12.3
113,Sierra Leone,4.571,0.256,0.813,0.0,0.355,0.238,0.053,4.66
115,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.144,4.41
116,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.05,4.32
117,Iraq,4.456,1.01,0.971,0.536,0.304,0.148,0.095,12.97
118,Mali,4.447,0.37,1.233,0.152,0.367,0.139,0.056,7.43
119,Namibia,4.441,0.874,1.281,0.365,0.519,0.051,0.064,19.88
120,Cambodia,4.433,0.549,1.088,0.457,0.696,0.256,0.065,0.14
121,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128,4.69
123,Mozambique,4.417,0.198,0.902,0.173,0.531,0.206,0.158,3.46
124,Kenya,4.41,0.493,1.048,0.454,0.504,0.352,0.055,4.25
125,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.082,12.01
